model,n_train,n_plays,mean_width,std_width,se_width,n_test,coverage,crps,mean_q,std_q,seed,alpha,timestamp
ridge_multinomial,20,870,21.402659069325736,8.203614644106993,0.10320849398327378,6318.0,0.9392212725546059,0.014577906004667279,0.12345679012345678,0.32898684151126467,209,0.1,2026-03-30T23:54:16.684596+00:00
tree_multiclass_hgbt,20,870,15.962171573282685,4.827332984171362,0.06073198082384368,6318.0,0.9197530864197531,0.01443967633773716,1.508388730610953,0.5012340947523647,209,0.1,2026-03-30T23:54:16.684614+00:00
zoo_cnn_distributional,20,870,17.555713833491613,6.061161136952269,0.07625459506245334,6318.0,0.918645140867363,0.016390317467981474,5.056980056980057,1.2862743449959548,209,0.1,2026-03-30T23:54:16.684616+00:00
