model,n_train,n_plays,mean_width,std_width,se_width,n_test,coverage,nll,q_padding,seed,alpha,timestamp
ridge_multinomial,20,878,19.995585685007093,8.640201779262647,0.10848670759060243,6343.0,0.9292133060066214,2.987942116028502,0.0,123,0.1,2026-02-11T00:55:56.274457+00:00
tree_multiclass_hgbt,20,878,15.65710231751537,4.063148597824493,0.05101705088500487,6343.0,0.9054075358663093,4.671629744381995,5.0,123,0.1,2026-02-11T00:55:56.274480+00:00
zoo_cnn_distributional,20,878,19.44048557464922,11.351840515165174,0.14253414839681855,6343.0,0.9099795049661044,6.583038729706946,3.0,123,0.1,2026-02-11T00:55:56.274482+00:00
ridge_multinomial,40,1753,19.97225287718745,9.204679788418169,0.11557431529758432,6343.0,0.9213306006621472,2.9383790290235576,0.0,123,0.1,2026-02-11T00:57:07.403840+00:00
tree_multiclass_hgbt,40,1753,14.862210310578591,2.907042195318462,0.036500934197392206,6343.0,0.9005202585527353,4.492519626843156,5.0,123,0.1,2026-02-11T00:57:07.403848+00:00
zoo_cnn_distributional,40,1753,17.54106889484471,6.435731953907328,0.08080729923353992,6343.0,0.913447895317673,6.911189648923801,3.0,123,0.1,2026-02-11T00:57:07.403850+00:00
ridge_multinomial,60,2620,20.004099006779125,9.067304085471145,0.11384942066011913,6343.0,0.9251142992274949,2.924515612879244,0.0,123,0.1,2026-02-11T00:58:40.162039+00:00
tree_multiclass_hgbt,60,2620,14.8590572284408,2.5307941710598025,0.03177674945818182,6343.0,0.9009932208734037,4.360829585420218,5.0,123,0.1,2026-02-11T00:58:40.162049+00:00
zoo_cnn_distributional,60,2620,17.439697304114773,9.40449080025338,0.11808315008734298,6343.0,0.9076146933627621,6.696229452672292,2.0,123,0.1,2026-02-11T00:58:40.162050+00:00
ridge_multinomial,80,3485,20.322087340375216,9.092563139225893,0.11416657431563719,6343.0,0.9270061485101687,2.9127257685833596,0.0,123,0.1,2026-02-11T01:00:33.826851+00:00
tree_multiclass_hgbt,80,3485,15.205738609490778,2.227324899638239,0.027966377553388877,6343.0,0.9101371590729939,4.210716009976395,5.0,123,0.1,2026-02-11T01:00:33.826861+00:00
zoo_cnn_distributional,80,3485,17.580640075673973,9.173272490949067,0.11517996405628353,6343.0,0.9175469020967997,7.123954858226707,2.0,123,0.1,2026-02-11T01:00:33.826863+00:00
ridge_multinomial,100,4403,20.571023175153712,8.86348116362863,0.11129021217319904,6343.0,0.928740343685953,2.907958905430619,0.0,123,0.1,2026-02-11T01:02:42.517867+00:00
tree_multiclass_hgbt,100,4403,13.571496137474382,1.996580429743273,0.0250691410682729,6343.0,0.8937411319564874,4.025633866815692,4.0,123,0.1,2026-02-11T01:02:42.517876+00:00
zoo_cnn_distributional,100,4403,14.549739870723633,6.213611282025145,0.07801834348968842,6343.0,0.8983131010562825,6.404186236136005,1.0,123,0.1,2026-02-11T01:02:42.517878+00:00
